k,p,Silhouette Score,WCSS,BCSS
1,2,1.000000,22.854739,0.000000
2,2,0.427793,13.230079,0.097219
3,2,0.341150,9.946144,0.130390
4,2,0.383176,7.377911,0.156332
5,2,0.417505,5.942523,0.170830
6,2,0.330666,6.114830,0.169090
7,2,0.383150,4.850611,0.181860
8,2,0.355365,4.806902,0.182301
9,2,0.343220,4.675971,0.183624
10,2,0.321063,4.635179,0.184036
11,2,0.301568,4.542320,0.184974
12,2,0.287800,4.419499,0.186215
13,2,0.258046,4.340147,0.187016
14,2,0.255231,4.308519,0.187336
15,2,0.263081,3.144114,0.199097
16,2,0.226787,3.012509,0.200427
17,2,0.240372,2.929869,0.201261
18,2,0.246610,2.574993,0.204846
19,2,0.239308,2.520827,0.205393
20,2,0.231416,2.511084,0.205491
