k,p,Silhouette Score,WCSS,BCSS
1,1,1.000000,22.854739,0.000000
2,1,0.350806,14.559343,0.083792
3,1,0.257776,11.162332,0.118105
4,1,0.382157,7.421824,0.155888
5,1,0.417505,5.942523,0.170830
6,1,0.401198,5.377613,0.176537
7,1,0.346303,5.057919,0.179766
8,1,0.361549,4.747969,0.182897
9,1,0.343635,4.645203,0.183935
10,1,0.329452,4.563283,0.184762
11,1,0.286826,4.463888,0.185766
12,1,0.276033,4.454055,0.185865
13,1,0.217079,4.400143,0.186410
14,1,0.214778,4.369389,0.186721
15,1,0.222468,3.248577,0.198042
16,1,0.191196,3.067938,0.199867
17,1,0.173337,3.046923,0.200079
18,1,0.165641,2.843982,0.202129
19,1,0.162223,2.789816,0.202676
20,1,0.166778,2.755349,0.203024
