k,p,Silhouette Score,WCSS,BCSS
1,3,1.000000,46182266550081.937500,0.000000
2,3,0.465972,20681312225142.863281,257585397221.606812
3,3,0.513367,10387547364499.068359,361562820056.392578
4,3,0.356672,9086720253384.812500,374702487845.425415
5,3,0.392103,7356216450564.620117,392182324237.548584
6,3,0.345030,6991016966228.578125,395871207917.710632
7,3,0.368525,4289195495619.727051,423162333883.456665
8,3,0.374654,4012352574376.990723,425958727027.322571
9,3,0.361929,3794927823303.779297,428154936634.122803
10,3,0.426637,3335609485257.908203,432794515806.303345
11,3,0.455304,3072016886706.302246,435457067306.824585
12,3,0.440450,3010879814305.024414,436074613492.696045
13,3,0.400312,3018437663232.720703,435998271584.335449
14,3,0.434616,2169530945153.861816,444573086918.465332
15,3,0.373242,2161542026236.410645,444653783069.146729
16,3,0.359768,2096284297857.058838,445312952042.675476
17,3,0.354372,2022503128224.651611,446058216382.396790
18,3,0.294036,2011415288255.696777,446170214765.921570
19,3,0.263839,1950839893384.746338,446782087441.385742
20,3,0.249435,1928957759782.381348,447003119093.934998
