k,p,Silhouette Score,WCSS,BCSS
1,1,1.000000,575.541721,0.000000
2,1,0.818850,163.170112,4.165370
3,1,0.688853,74.264283,5.063408
4,1,0.356432,67.444636,5.132294
5,1,0.362822,62.118166,5.186097
6,1,0.272493,59.194745,5.215626
7,1,0.306991,58.250211,5.225167
8,1,0.281765,57.805011,5.229664
9,1,0.362770,39.060577,5.419001
10,1,0.336830,39.013677,5.419475
11,1,0.332161,38.964187,5.419975
12,1,0.310235,38.775667,5.421879
13,1,0.279627,38.928178,5.420339
14,1,0.272204,37.485116,5.434915
15,1,0.304383,36.969397,5.440124
16,1,0.310471,36.749627,5.442344
17,1,0.309159,36.675609,5.443092
18,1,0.313256,36.621243,5.443641
19,1,0.292943,36.609478,5.443760
20,1,0.320694,5.162623,5.761405
