k,p,Silhouette Score,WCSS,BCSS
1,3,1.000000,575.541721,0.000000
2,3,0.785251,164.185268,4.155116
3,3,0.649025,118.764374,4.613913
4,3,0.392888,114.657995,4.655391
5,3,0.452028,43.521779,5.373939
6,3,0.454504,40.754097,5.401895
7,3,0.396335,40.084823,5.408656
8,3,0.390048,39.609635,5.413455
9,3,0.399359,39.281329,5.416772
10,3,0.402477,39.050571,5.419103
11,3,0.402013,38.446222,5.425207
12,3,0.382472,38.343100,5.426249
13,3,0.352583,38.319028,5.426492
14,3,0.334392,37.569718,5.434061
15,3,0.310510,37.586471,5.433891
16,3,0.324890,37.504214,5.434722
17,3,0.314904,37.452226,5.435247
18,3,0.317275,37.422937,5.435543
19,3,0.312021,37.411482,5.435659
20,3,0.336130,5.964627,5.753304
