k,p,Silhouette Score,WCSS,BCSS
1,3,1.000000,0.265168,0.000000
2,3,0.608615,0.200267,0.000656
3,3,0.357553,0.178591,0.000875
4,3,0.159856,0.180526,0.000855
5,3,0.197186,0.150366,0.001160
6,3,0.193665,0.137854,0.001286
7,3,0.171173,0.135723,0.001308
8,3,0.178558,0.117497,0.001492
9,3,0.167244,0.114834,0.001519
10,3,0.196447,0.089500,0.001774
11,3,0.201375,0.087384,0.001796
12,3,0.207744,0.084573,0.001824
13,3,0.187973,0.083340,0.001837
14,3,0.174857,0.080280,0.001868
15,3,0.171525,0.079863,0.001872
16,3,0.134038,0.076963,0.001901
17,3,0.138944,0.074585,0.001925
18,3,0.141097,0.072518,0.001946
19,3,0.166878,0.060133,0.002071
20,3,0.118026,0.070862,0.001963
