k,p,Overall Precision,Overall Recall,Overall Specificity,Overall F1 Score,Overall FPR,Overall Accuracy
1,3,0.90%,0.90,0.99,0.90,0.01,97.78%
2,3,0.90%,0.90,0.99,0.90,0.01,97.78%
3,3,0.85%,0.85,0.98,0.85,0.02,96.67%
4,3,0.85%,0.85,0.98,0.85,0.02,96.67%
5,3,0.90%,0.90,0.99,0.90,0.01,97.78%
6,3,0.90%,0.90,0.99,0.90,0.01,97.78%
7,3,0.90%,0.90,0.99,0.90,0.01,97.78%
8,3,0.90%,0.90,0.99,0.90,0.01,97.78%
9,3,0.90%,0.90,0.99,0.90,0.01,97.78%
10,3,0.85%,0.85,0.98,0.85,0.02,96.67%
11,3,0.85%,0.85,0.98,0.85,0.02,96.67%
12,3,0.80%,0.80,0.97,0.80,0.03,95.56%
13,3,0.80%,0.80,0.97,0.80,0.03,95.56%
14,3,0.80%,0.80,0.97,0.80,0.03,95.56%
15,3,0.80%,0.80,0.97,0.80,0.03,95.56%
